,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
5411,5412,1.0,Ideal,F,VS2,62.0,55.0,6.43,6.48,4.0,5844
10748,10749,0.31,Ideal,D,SI2,62.3,56.0,4.38,4.35,2.72,593
11962,11963,1.25,Ideal,G,IF,60.2,54.0,6.99,7.03,4.22,11511
12953,12954,0.56,Very Good,G,VS1,60.2,56.0,5.35,5.37,3.23,1686
5723,5724,0.71,Very Good,I,SI1,62.6,59.0,5.67,5.7,3.56,2218
16704,16705,2.01,Very Good,I,VS2,62.3,59.0,8.02,8.1,5.02,15965
21144,21145,0.3,Premium,G,SI1,60.1,62.0,4.37,4.35,2.62,574
10660,10661,0.7,Premium,G,SI2,59.0,60.0,5.84,5.82,3.44,1814
18784,18785,0.7,Ideal,F,VVS2,61.5,56.0,5.7,5.78,3.53,4439
23477,23478,0.54,Ideal,E,SI2,60.4,57.0,5.27,5.3,3.19,1266
15973,15974,0.4,Premium,E,VS2,62.0,58.0,4.73,4.69,2.92,1038
23022,23023,0.36,Ideal,E,VS2,61.7,55.0,4.63,4.57,2.84,1013
12699,12700,0.54,Ideal,H,SI1,62.5,53.0,5.22,5.25,3.27,1227
4607,4608,0.75,Very Good,E,SI1,62.3,58.0,5.78,5.81,3.61,2923
8803,8804,0.32,Premium,I,VVS2,60.7,59.0,4.4,4.43,2.68,561
5756,5757,0.31,Ideal,F,VS2,61.9,57.0,4.34,4.32,2.68,749
10165,10166,1.0,Very Good,F,SI1,62.5,56.0,6.38,6.42,4.0,4643
14876,14877,0.31,Good,H,VVS1,63.7,56.0,4.3,4.33,2.75,612
19668,19669,0.31,Good,F,VS2,63.9,56.0,4.29,4.32,2.75,625
26194,26195,0.26,Very Good,E,VVS2,63.0,58.0,4.0,4.03,2.53,597
23443,23444,1.0,Good,E,SI1,57.6,65.0,6.47,6.44,3.72,3696
16169,16170,1.57,Ideal,F,SI1,61.1,55.0,7.55,7.53,4.61,12432
4287,4288,0.39,Ideal,G,VVS1,58.8,62.0,4.77,4.79,2.81,1004
18524,18525,0.41,Ideal,G,VVS2,61.7,55.0,4.81,4.85,2.98,1199
26784,26785,1.01,Fair,G,SI2,58.7,67.0,6.52,6.56,3.84,3816
23002,23003,1.01,Ideal,G,VVS2,60.9,56.0,6.51,6.55,3.98,8029
13397,13398,1.04,Ideal,G,VS2,60.7,56.0,6.59,6.54,3.99,7415
23106,23107,0.62,Very Good,F,VS2,59.8,58.0,5.55,5.59,3.33,2041
11495,11496,1.0,Very Good,D,SI1,60.1,60.0,6.47,6.55,3.91,4697
14317,14318,1.5,Ideal,G,VS1,62.3,57.0,7.25,7.32,4.54,14067
26694,26695,0.32,Ideal,H,VVS1,62.2,56.0,4.37,4.38,2.72,730
2634,2635,0.98,Very Good,G,SI2,62.2,57.0,6.33,6.37,3.95,4542
16439,16440,0.35,Ideal,G,VS2,61.6,54.0,4.55,4.58,2.81,563
16473,16474,0.73,Fair,D,SI2,65.5,60.0,5.64,5.54,3.66,2147
8696,8697,2.17,Very Good,I,SI1,62.1,61.0,8.24,8.27,5.13,15760
9882,9883,0.3,Premium,D,SI1,62.5,59.0,4.28,4.26,2.67,709
19151,19152,1.0,Good,E,SI2,63.5,56.0,6.31,6.38,4.03,4620
19261,19262,0.78,Ideal,E,VS2,62.1,54.0,5.92,5.94,3.68,3159
12169,12170,0.31,Ideal,G,VS2,61.6,54.0,4.41,4.39,2.71,698
10033,10034,0.34,Premium,H,VS1,60.8,59.0,4.53,4.48,2.74,765
23179,23180,0.3,Ideal,I,VS2,61.4,58.0,4.29,4.31,2.64,438
4973,4974,0.71,Very Good,E,SI2,61.9,63.0,5.74,5.69,3.54,2375
7551,7552,1.03,Ideal,F,SI2,61.8,56.0,6.49,6.46,4.0,4454
397,398,0.33,Premium,F,SI2,62.3,58.0,4.43,4.4,2.75,557
3069,3070,0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44,2845
10676,10677,1.52,Ideal,E,SI1,62.1,56.0,7.35,7.38,4.57,13280
7574,7575,0.4,Ideal,I,VVS2,62.0,56.0,4.74,4.77,2.95,807
3750,3751,1.37,Ideal,G,VS1,61.1,55.0,7.2,7.16,4.39,11009
18699,18700,1.51,Premium,J,SI1,63.0,58.0,7.32,7.28,4.6,7441
4729,4730,1.04,Ideal,F,VS2,62.1,57.0,6.53,6.48,4.04,6814
13147,13148,0.9,Very Good,I,SI1,,55.0,6.19,6.28,3.83,3271
14471,14472,0.41,Ideal,D,VS1,61.8,57.0,4.75,4.8,2.95,1151
4731,4732,1.13,Ideal,G,VS2,62.1,53.0,6.69,6.74,4.17,7140
24607,24608,1.01,Good,H,VS2,60.8,61.0,6.43,6.5,3.93,5229
24187,24188,0.41,Very Good,E,SI2,63.5,55.0,4.73,4.69,2.99,818
16317,16318,0.32,Very Good,D,VS2,62.9,59.0,4.36,4.39,2.75,657
23665,23666,0.31,Very Good,H,VS2,62.2,59.0,4.34,4.38,2.71,489
306,307,0.9,Very Good,I,VS2,63.4,57.0,6.07,6.1,3.86,3489
24677,24678,1.01,Very Good,G,VS2,59.2,59.0,6.52,6.59,3.88,5999
22280,22281,0.91,Very Good,D,SI1,62.8,57.0,6.12,6.17,3.86,4303
24257,24258,0.55,Ideal,E,SI1,60.6,56.0,5.33,5.3,3.22,1668
6827,6828,1.12,Premium,I,VS2,62.4,58.0,6.63,6.59,4.13,4321
25383,25384,0.71,Ideal,F,VS1,61.1,56.0,5.75,5.78,3.52,3404
16758,16759,0.31,Fair,F,VVS1,63.1,61.0,4.32,4.37,2.74,740
22172,22173,1.72,Premium,H,VS2,59.5,60.0,7.79,7.75,4.62,11455
920,921,1.03,Ideal,G,VVS1,,56.0,6.5,6.54,4.04,8248
19481,19482,0.34,Very Good,H,VVS1,63.2,58.0,4.45,4.41,2.8,995
23860,23861,0.31,Ideal,E,VVS2,61.4,56.0,4.36,4.4,2.69,766
2607,2608,1.0,Ideal,G,VVS1,61.9,57.0,6.43,6.39,3.97,8366
22489,22490,0.43,Premium,G,VS1,61.8,59.0,4.88,4.83,3.0,1008
23450,23451,0.72,Very Good,G,SI2,60.6,57.0,5.79,5.86,3.53,2114
20148,20149,1.01,Premium,F,VS2,63.0,58.0,6.4,6.34,4.01,6165
4194,4195,0.52,Very Good,H,VVS1,63.9,59.0,5.08,5.1,3.25,1664
143,144,0.36,Premium,J,SI1,61.3,60.0,4.59,4.52,2.79,541
11882,11883,0.73,Ideal,G,VVS2,61.0,56.0,5.82,5.86,3.56,3783
22382,22383,0.38,Ideal,F,SI1,61.8,55.0,4.66,4.69,2.89,640
4342,4343,0.34,Very Good,E,SI1,63.0,55.0,4.42,4.47,2.8,596
19545,19546,2.01,Premium,H,SI2,61.5,59.0,8.12,8.08,4.98,11635
8329,8330,0.3,Very Good,D,SI1,62.1,58.0,4.25,4.28,2.65,552
6977,6978,2.06,Premium,G,SI2,61.8,58.0,8.15,8.1,5.02,16587
21970,21971,1.02,Good,J,SI2,62.2,61.0,6.41,6.48,4.01,3639
19265,19266,1.5,Good,J,VS1,63.3,57.0,7.2,7.24,4.57,8736
1294,1295,0.73,Very Good,E,VS1,62.3,58.0,5.72,5.74,3.57,3226
25938,25939,0.71,Ideal,F,VS1,62.1,55.0,5.82,5.68,3.57,2839
14121,14122,0.52,Very Good,E,VS1,63.3,58.0,5.07,5.11,3.22,1822
25388,25389,0.41,Premium,G,VVS2,61.6,58.0,4.8,4.74,2.94,1076
7727,7728,0.31,Ideal,F,VS2,62.3,57.0,4.3,4.34,2.69,625
18029,18030,1.0,Very Good,F,SI1,59.4,60.0,6.47,6.52,3.86,4961
5556,5557,0.7,Fair,F,VS2,66.4,53.0,5.51,5.49,3.65,2516
508,509,0.36,Ideal,D,SI2,62.3,57.0,4.57,4.52,2.83,689
1996,1997,1.5,Premium,F,SI2,58.5,60.0,7.52,7.48,4.39,7644
8567,8568,0.31,Ideal,G,VVS1,62.5,57.0,4.31,4.36,2.71,816
22502,22503,0.9,Very Good,G,SI2,63.1,55.0,6.16,6.13,3.88,3452
12718,12719,0.3,Ideal,H,VS2,62.1,56.0,4.32,4.34,2.69,491
26634,26635,2.1,Very Good,J,SI2,62.0,62.0,8.17,8.23,5.08,12196
12022,12023,0.54,Ideal,H,VS2,61.6,55.0,5.23,5.25,3.23,1453
185,186,0.43,Ideal,E,SI1,,56.0,4.82,4.79,3.01,975
17302,17303,1.2,Very Good,H,SI1,60.8,58.0,6.8,6.85,4.15,6077
16609,16610,0.65,Very Good,D,VS1,60.8,57.2,5.55,5.63,3.4,2752
24464,24465,1.3,Very Good,I,VS1,62.6,57.0,6.92,6.95,4.34,6819
4927,4928,0.75,Premium,E,SI1,62.8,56.0,5.78,5.75,3.62,2698
25189,25190,0.3,Ideal,G,IF,61.7,55.0,4.34,4.31,2.67,956
23682,23683,0.31,Ideal,F,VS2,61.6,56.0,4.38,4.35,2.69,749
14477,14478,0.9,Very Good,H,VVS2,59.9,61.0,6.29,6.19,3.74,4637
10213,10214,0.32,Ideal,G,IF,61.2,56.0,4.4,4.43,2.7,918
2818,2819,1.27,Very Good,I,SI1,63.1,59.0,6.83,6.87,4.32,5953
9228,9229,0.54,Very Good,J,SI1,61.3,55.0,5.23,5.28,3.22,1080
3974,3975,0.59,Good,F,VS2,63.5,55.0,5.31,5.36,3.39,1573
17397,17398,1.51,Very Good,F,VVS2,58.0,65.0,7.58,7.62,4.41,16613
25275,25276,0.71,Ideal,E,VS2,60.9,56.0,5.77,5.83,3.53,3053
9199,9200,0.71,Very Good,G,SI1,57.5,61.0,5.91,5.96,3.41,2644
26541,26542,0.31,Ideal,G,IF,61.0,56.0,4.38,4.37,2.67,988
5416,5417,0.42,Ideal,D,SI1,61.9,57.0,4.82,4.77,2.97,1040
16717,16718,0.31,Good,J,VS1,61.9,61.0,4.29,4.34,2.67,412
13297,13298,0.53,Ideal,I,VS1,62.3,56.0,5.19,5.23,3.24,1427
18491,18492,1.01,Very Good,D,VS2,60.4,58.0,6.47,6.57,3.94,6905
12997,12998,1.04,Premium,G,SI2,62.9,58.0,6.47,6.43,4.06,4277
23592,23593,1.02,Ideal,I,SI1,61.9,55.0,6.43,6.46,3.99,3983
22979,22980,1.21,Premium,J,SI1,62.7,57.0,6.77,6.72,4.23,4391
15930,15931,0.23,Very Good,E,VVS2,61.5,59.0,3.95,3.98,2.44,530
4207,4208,0.27,Very Good,D,VS2,62.0,57.0,4.11,4.15,2.56,470
20001,20002,0.4,Very Good,D,VS2,59.3,58.0,4.8,4.85,2.86,850
21413,21414,0.7,Good,D,SI2,59.2,60.0,5.75,5.78,3.41,2382
6327,6328,1.1,Ideal,G,VS2,60.9,56.0,6.68,6.79,4.1,6939
11907,11908,1.05,Ideal,G,VS2,62.8,57.0,6.49,6.45,4.06,6604
21878,21879,0.72,Ideal,D,SI2,62.3,57.0,5.75,5.8,3.6,2435
8282,8283,1.18,Premium,G,SI2,,60.0,6.88,6.81,4.14,4988
24217,24218,1.03,Ideal,G,SI1,61.1,57.0,6.54,6.58,4.01,5147
14356,14357,1.51,Ideal,I,SI2,61.2,58.0,7.33,7.42,4.51,7362
22567,22568,1.01,Fair,G,I1,64.5,56.0,6.32,6.26,4.06,2287
21013,21014,1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,4899
25807,25808,0.96,Ideal,G,SI2,62.0,58.0,6.3,6.34,3.92,3945
959,960,0.91,Ideal,I,VS1,62.5,55.0,6.25,6.2,3.89,3669
9827,9828,0.6,Premium,G,SI1,60.8,58.0,5.44,5.39,3.29,1286
17401,17402,0.71,Premium,H,SI1,62.4,59.0,5.65,5.6,3.51,2112
3934,3935,0.83,Ideal,I,SI2,61.2,59.0,6.03,6.06,3.7,2444
19678,19679,0.33,Premium,H,VS2,62.3,58.0,4.38,4.41,2.74,521
21252,21253,0.41,Very Good,I,VVS2,59.9,57.0,4.87,4.91,2.93,1024
18305,18306,0.39,Very Good,J,VS1,61.0,62.0,4.66,4.71,2.86,616
2576,2577,0.5,Very Good,G,VVS2,62.2,61.0,5.07,5.09,3.16,1715
11844,11845,0.53,Very Good,D,VS1,60.5,58.0,5.27,5.3,3.2,2170
17592,17593,0.37,Premium,D,VVS2,60.7,59.0,4.66,4.63,2.82,1038
20130,20131,0.54,Ideal,D,VS1,62.1,57.0,5.19,5.22,3.23,2004
13793,13794,0.73,Ideal,H,SI1,61.5,55.0,5.79,5.84,3.57,2605
8427,8428,0.91,Premium,G,SI1,61.8,60.0,6.21,6.18,3.83,3975
1070,1071,0.9,Ideal,H,VS1,62.0,56.0,6.22,6.19,3.85,4234
3926,3927,0.82,Premium,E,SI2,62.0,59.0,6.02,5.94,3.71,2593
13121,13122,0.3,Premium,H,VVS2,62.1,52.0,4.31,4.29,2.67,776
6700,6701,0.27,Very Good,E,VVS2,61.2,60.0,4.16,4.17,2.55,606
20207,20208,0.7,Ideal,F,SI1,62.8,56.0,5.63,5.68,3.55,2528
10395,10396,1.23,Very Good,H,VS2,62.4,58.0,6.8,6.85,4.26,6848
12015,12016,0.41,Premium,G,VS1,62.1,60.0,4.78,4.72,2.95,961
821,822,0.26,Ideal,I,VS2,61.8,55.0,4.12,4.17,2.56,371
18775,18776,1.0,Premium,H,SI2,62.7,58.0,6.33,6.31,3.96,4200
12684,12685,0.91,Premium,E,SI2,60.0,60.0,6.28,6.23,3.75,3379
6435,6436,1.2,Ideal,H,SI1,62.7,55.0,6.76,6.73,4.23,6512
18438,18439,1.51,Ideal,J,SI1,61.4,57.0,7.38,7.43,4.55,8049
6090,6091,0.31,Ideal,F,IF,60.2,57.0,4.38,4.44,2.65,1155
8424,8425,0.56,Ideal,G,VS2,62.2,57.0,5.29,5.25,3.28,1585
25346,25347,0.82,Ideal,E,SI1,61.8,58.0,5.99,6.05,3.72,3622
16683,16684,0.55,Very Good,F,SI1,60.7,57.0,5.27,5.3,3.21,1316
24060,24061,0.4,Ideal,E,VS2,62.3,56.0,4.78,4.72,2.96,1025
22024,22025,1.51,Fair,I,VS2,64.6,58.0,7.19,7.15,4.63,8287
19858,19859,1.09,Ideal,G,VVS2,61.5,57.0,6.62,6.65,4.08,8970
906,907,0.58,Premium,G,VVS2,61.5,60.0,5.37,5.33,3.29,1975
21004,21005,0.51,Ideal,E,VS2,61.9,56.0,5.12,5.16,3.18,1656
23636,23637,0.26,Very Good,H,VVS2,62.4,58.0,4.04,4.07,2.53,468
16691,16692,0.7,Ideal,H,SI1,61.2,58.0,5.74,5.77,3.52,2138
1869,1870,1.71,Fair,I,SI2,65.1,60.0,7.5,7.46,4.87,8800
2872,2873,0.31,Very Good,H,SI1,62.3,55.0,4.34,4.36,2.71,446
23366,23367,1.7,Very Good,H,VS2,61.8,59.0,7.58,7.66,4.71,12257
14199,14200,0.41,Very Good,D,SI1,63.0,56.0,4.75,4.8,3.01,717
2462,2463,0.5,Ideal,D,SI1,62.6,57.0,5.1,5.06,3.18,1654
8289,8290,0.36,Ideal,F,IF,60.3,57.0,4.61,4.65,2.79,1063
12072,12073,1.12,Ideal,H,SI1,62.8,55.0,6.66,6.61,4.17,5863
5107,5108,0.32,Premium,G,SI1,59.6,60.0,4.43,4.46,2.65,477
5590,5591,0.4,Ideal,G,VVS2,61.5,57.0,4.74,4.76,2.92,1172
5192,5193,2.01,Ideal,E,SI2,62.2,57.0,8.04,8.09,5.02,17688
14414,14415,1.16,Ideal,F,VVS2,61.8,56.7,6.7,6.78,4.16,10439
4429,4430,0.73,Ideal,G,SI1,62.0,54.0,5.81,5.84,3.61,2583
22644,22645,1.09,Premium,D,SI1,61.6,58.0,6.61,6.57,4.06,5799
17837,17838,1.07,Very Good,H,VS1,62.5,56.0,6.52,6.6,4.1,5661
3733,3734,0.9,Good,E,SI1,59.8,64.0,6.14,6.21,3.69,4229
2450,2451,0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52,2839
1796,1797,0.53,Fair,F,VS2,65.5,58.0,5.09,5.03,3.31,1402
12711,12712,1.5,Ideal,I,SI1,61.8,57.0,7.3,7.34,4.53,8907
13926,13927,0.72,Very Good,F,SI1,62.2,59.0,5.72,5.76,3.57,2404
12726,12727,0.37,Very Good,E,VS2,58.9,61.0,4.66,4.68,2.75,811
20775,20776,0.55,Ideal,G,SI1,60.8,56.0,5.3,5.36,3.24,1429
20901,20902,1.03,Ideal,J,SI1,61.9,56.0,6.45,6.5,4.01,3921
16315,16316,1.54,Premium,E,SI2,59.0,62.0,7.59,7.56,4.47,8020
6425,6426,1.0,Very Good,I,SI1,60.4,63.0,6.44,6.37,3.87,4032
25505,25506,0.34,Premium,E,SI2,61.7,58.0,4.5,4.54,2.79,477
24172,24173,0.3,Ideal,F,VS1,61.8,55.0,4.31,4.33,2.67,612
25927,25928,0.33,Good,H,VS2,63.8,55.0,4.44,4.4,2.82,668
15932,15933,1.2,Good,H,SI1,63.7,58.0,6.72,6.68,4.27,5779
9874,9875,0.32,Ideal,G,VVS2,61.9,57.0,4.41,4.38,2.72,936
1374,1375,1.12,Ideal,D,VS2,62.0,55.0,6.66,6.63,4.12,8430
26767,26768,0.51,Premium,G,VS1,62.1,58.0,5.12,5.09,3.17,1662
13454,13455,0.26,Very Good,I,VVS2,62.7,55.0,4.09,4.12,2.57,427
10092,10093,0.41,Ideal,F,VS2,,57.0,4.78,4.73,2.98,1107
11230,11231,1.01,Fair,F,VS2,65.5,62.0,6.19,6.23,4.07,5501
8527,8528,0.35,Very Good,E,IF,57.9,56.0,4.71,4.75,2.74,1025
12949,12950,0.31,Ideal,J,VVS1,62.4,54.0,4.32,4.35,2.7,461
19341,19342,0.25,Ideal,H,VS1,62.6,53.0,4.04,4.08,2.54,445
5025,5026,0.36,Ideal,F,VS1,60.7,59.0,4.59,4.61,2.79,775
22941,22942,0.32,Good,E,SI1,62.5,61.0,4.32,4.35,2.71,564
10666,10667,1.01,Good,D,SI1,57.6,60.0,6.59,6.64,3.81,5501
22852,22853,0.35,Premium,H,VVS1,,59.0,4.57,4.61,2.75,798
3831,3832,0.9,Good,G,SI2,61.8,56.0,6.11,6.16,3.79,3253
1007,1008,0.39,Premium,E,VS1,58.8,59.0,4.76,4.73,2.79,1097
4081,4082,0.42,Very Good,E,VS2,61.9,59.0,4.75,4.81,2.96,958
11115,11116,0.53,Good,I,SI2,63.6,58.0,5.08,5.11,3.24,942
12455,12456,1.0,Very Good,G,SI1,61.0,56.7,6.44,6.47,3.94,5522
2789,2790,0.31,Ideal,E,VVS2,60.9,55.0,4.42,4.45,2.7,864
10749,10750,2.01,Very Good,I,VS2,62.1,60.0,7.96,8.01,4.96,15919
6390,6391,0.42,Very Good,F,SI1,63.4,56.0,4.8,4.76,3.03,926
898,899,1.32,Good,I,VS1,59.2,58.0,7.14,7.18,4.24,7143
9765,9766,0.3,Premium,F,VS2,62.7,58.0,4.3,4.25,2.68,776
7411,7412,1.28,Ideal,F,VVS2,62.2,56.0,6.95,6.91,4.32,12958
78,79,1.2,Premium,G,SI1,62.2,58.0,6.8,6.7,4.2,5154
25070,25071,0.23,Very Good,D,VVS2,61.3,58.0,3.93,3.97,2.42,530
6187,6188,0.33,Very Good,F,SI1,61.2,58.1,4.48,4.51,2.75,544
22642,22643,0.33,Very Good,G,VVS1,61.2,60.0,4.42,4.44,2.71,868
8988,8989,2.02,Ideal,H,SI1,62.0,56.0,8.06,8.13,5.02,17392
13663,13664,0.31,Ideal,D,SI1,61.2,57.0,4.34,4.38,2.67,533
17945,17946,0.33,Very Good,G,VS1,62.8,58.0,4.38,4.41,2.76,666
18830,18831,0.33,Very Good,H,VS1,62.9,59.0,4.35,4.4,2.75,579
14783,14784,0.28,Very Good,G,VVS2,62.5,53.0,4.18,4.21,2.62,522
1896,1897,0.91,Good,E,SI2,63.1,61.0,6.04,6.14,3.84,3520
25635,25636,0.57,Premium,G,VS2,,55.0,5.31,5.26,3.31,1728
11489,11490,1.57,Very Good,H,VS2,63.4,56.0,7.46,7.4,4.71,9407
9186,9187,0.9,Good,D,SI1,63.9,57.0,6.1,6.04,3.88,3689
14881,14882,0.54,Premium,F,SI2,59.6,60.0,5.25,5.28,3.14,1154
25689,25690,0.71,Premium,G,VS2,60.4,61.0,5.81,5.77,3.5,2515
25390,25391,0.32,Ideal,H,VVS1,61.3,57.0,4.41,4.43,2.71,821
14688,14689,0.41,Very Good,F,SI1,63.1,56.0,4.73,4.69,2.97,878
15743,15744,2.23,Premium,J,VS2,61.0,58.0,8.39,8.36,5.11,14867
6876,6877,1.22,Very Good,H,SI2,63.1,59.0,6.81,6.75,4.28,5192
8022,8023,0.64,Ideal,F,VS1,61.9,56.8,5.55,5.6,3.45,2222
7409,7410,0.42,Good,E,VVS2,64.1,57.0,4.7,4.73,3.02,1269
9881,9882,1.0,Ideal,G,VVS2,62.8,57.0,6.37,6.43,4.02,7979
4910,4911,0.32,Ideal,G,SI1,61.4,55.0,4.4,4.46,2.72,461
23441,23442,0.3,Ideal,F,VS1,61.0,56.0,4.35,4.37,2.66,570
1518,1519,0.92,Ideal,F,SI1,62.2,55.0,6.25,6.19,3.87,3400
7560,7561,0.38,Ideal,G,VVS2,61.3,56.4,4.67,4.71,2.88,929
1230,1231,0.31,Ideal,E,VS2,62.0,55.0,4.33,4.35,2.69,680
16747,16748,1.24,Premium,F,VS1,62.5,58.0,6.87,6.83,4.28,10033
18056,18057,1.06,Very Good,H,VS1,61.9,58.0,6.57,6.49,4.04,5627
1417,1418,1.44,Very Good,D,VS2,,56.0,7.15,7.12,4.5,10967
5437,5438,0.38,Premium,H,VS2,61.8,58.0,4.63,4.66,2.87,700
25481,25482,1.23,Ideal,F,VS1,62.5,54.0,6.82,6.85,4.27,9660
18489,18490,0.58,Ideal,D,VVS1,62.2,56.0,5.34,5.36,3.33,3741
26801,26802,0.26,Ideal,E,VVS2,62.0,56.0,4.13,4.1,2.55,769
4027,4028,1.22,Premium,I,SI2,61.7,59.0,6.84,6.8,4.21,4735
5634,5635,1.01,Ideal,F,SI2,61.3,57.0,6.4,6.35,3.91,3777
21255,21256,1.76,Very Good,H,VS2,62.2,60.0,7.68,7.72,4.79,13503
20427,20428,0.73,Premium,D,SI1,62.5,59.0,5.75,5.68,3.57,2579
5143,5144,1.28,Very Good,F,SI1,63.0,56.0,6.9,7.03,4.39,6566
19327,19328,1.64,Premium,J,SI2,63.0,58.0,7.54,7.49,4.74,5624
680,681,0.32,Premium,H,VS1,62.3,58.0,4.34,4.39,2.72,561
21398,21399,0.34,Ideal,D,VVS2,61.3,56.0,4.51,4.53,2.77,1054
319,320,0.73,Ideal,E,VS2,62.4,57.0,5.75,5.79,3.6,3201
7209,7210,0.38,Ideal,G,SI1,61.5,55.0,4.66,4.68,2.87,695
23444,23445,1.23,Premium,D,VS2,59.3,59.0,7.03,6.96,4.15,9836
11421,11422,0.57,Ideal,G,VVS1,60.9,56.0,5.37,5.41,3.28,2612
23195,23196,1.0,Ideal,G,SI2,62.8,57.0,6.37,6.31,3.98,4284
5663,5664,0.41,Very Good,F,SI2,60.8,58.0,4.78,4.83,2.92,647
9802,9803,0.77,Premium,E,VS2,60.5,59.0,5.98,5.92,3.6,3234
5273,5274,0.7,Premium,E,VS1,62.7,57.0,5.68,5.64,3.55,2818
26517,26518,0.4,Premium,H,VVS2,60.6,60.0,4.75,4.79,2.89,877
12803,12804,1.0,Premium,H,SI1,62.1,56.0,6.48,6.38,3.99,4788
7318,7319,0.32,Ideal,E,VS1,61.7,56.0,4.41,4.44,2.73,745
522,523,0.42,Good,E,SI1,63.6,61.0,4.73,4.7,3.0,945
25511,25512,0.3,Premium,H,VVS1,62.5,59.0,4.29,4.26,2.67,878
2674,2675,0.41,Premium,E,VS2,62.1,58.0,4.75,4.78,2.96,935
5473,5474,0.31,Very Good,E,VVS2,60.8,55.0,4.38,4.43,2.68,816
12188,12189,1.09,Premium,G,SI2,61.3,60.0,6.66,6.59,4.06,3601
16425,16426,2.7,Very Good,H,SI2,63.1,56.0,8.84,8.78,5.56,14341
14270,14271,1.02,Premium,G,VS2,62.7,58.0,6.4,6.45,4.03,6058
22170,22171,2.02,Ideal,I,SI2,62.2,57.0,8.06,7.99,4.99,10412
11950,11951,0.43,Ideal,F,IF,61.5,56.0,4.89,4.86,3.0,1580
11674,11675,0.5,Premium,E,VS2,61.4,58.0,5.12,5.07,3.13,1746
19888,19889,1.0,Good,D,SI2,63.9,56.0,6.32,6.27,4.02,3634
7642,7643,0.71,Very Good,F,SI2,60.9,56.0,5.8,5.83,3.54,2036
5536,5537,1.14,Ideal,F,VVS1,60.1,60.0,6.79,6.83,4.09,11226
3370,3371,0.3,Premium,E,SI1,60.0,60.0,4.36,4.38,2.62,526
24155,24156,0.24,Very Good,D,VVS2,62.4,58.0,3.94,4.01,2.48,552
4646,4647,0.93,Premium,I,VS2,62.7,61.0,6.24,6.14,3.88,4073
1196,1197,0.55,Premium,J,SI1,60.5,59.0,5.33,5.28,3.21,1348
15021,15022,1.08,Ideal,D,VS1,61.1,56.0,6.59,6.63,4.04,9545
10103,10104,0.92,Premium,E,SI1,59.8,59.0,6.33,6.37,3.8,4562
18709,18710,1.01,Premium,D,VS1,,58.0,6.6,6.54,3.94,8286
24747,24748,0.5,Very Good,H,VS1,62.5,59.0,5.01,5.04,3.14,1429
16113,16114,1.13,Ideal,I,SI1,,57.0,6.68,6.66,4.13,5149
859,860,2.03,Ideal,G,SI1,60.0,55.8,8.17,8.3,4.95,18757
24130,24131,0.51,Very Good,D,SI1,61.0,60.0,5.15,5.18,3.15,1569
15232,15233,0.54,Ideal,F,SI2,61.0,56.0,5.24,5.29,3.21,1173
